project,camera,mark,Model,FOV,species,image_name,number,dates,times,diel,datetimes,deltatime,longitude,latitude,radian
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0015 (3).JPG,3,3/16/24,3:14:27,0.157615741,3/16/24 3:14,1,342968,1026415,0.848448183
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0109.JPG,1,3/16/24,23:04:41,0.157615741,3/16/24 23:04,378633,343014,1026380,6.041820816
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0109 (3).JPG,1,3/16/24,23:04:41,0.157615741,3/16/24 23:04,0,343014,1026380,6.041820816
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0110.JPG,1,3/16/24,23:04:42,0.157615741,3/16/24 23:04,1,343014,1026380,6.041893538
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0111.JPG,1,3/16/24,23:04:42,0.157615741,3/16/24 23:04,0,343014,1026380,6.041893538
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0110 (3).JPG,1,3/16/24,23:04:42,0.157615741,3/16/24 23:04,0,343014,1026380,6.041893538
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0111 (3).JPG,1,3/16/24,23:04:42,0.157615741,3/16/24 23:04,0,343014,1026380,6.041893538
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0113.JPG,1,3/16/24,23:04:59,0.157615741,3/16/24 23:04,17,343014,1026380,6.043129813
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0113 (3).JPG,1,3/16/24,23:04:59,0.157615741,3/16/24 23:04,0,343014,1026380,6.043129813
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0117.JPG,1,3/16/24,23:05:41,0.157615741,3/16/24 23:05,41,343014,1026380,6.046184139
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0117 (3).JPG,1,3/16/24,23:05:41,0.157615741,3/16/24 23:05,0,343014,1026380,6.046184139
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0118.JPG,1,3/16/24,23:05:42,0.157615741,3/16/24 23:05,1,343014,1026380,6.046256861
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0119.JPG,1,3/16/24,23:05:42,0.157615741,3/16/24 23:05,0,343014,1026380,6.046256861
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0118 (4).JPG,1,3/16/24,23:05:42,0.157615741,3/16/24 23:05,0,343014,1026380,6.046256861
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0119 (4).JPG,1,3/16/24,23:05:42,0.157615741,3/16/24 23:05,0,343014,1026380,6.046256861
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0121.JPG,1,3/16/24,23:06:05,0.157615741,3/16/24 23:06,23,343014,1026380,6.047929468
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0121 (3).JPG,1,3/16/24,23:06:05,0.157615741,3/16/24 23:06,0,343014,1026380,6.047929468
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0122.JPG,1,3/16/24,23:06:06,0.157615741,3/16/24 23:06,1,343014,1026380,6.04800219
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0123.JPG,1,3/16/24,23:06:06,0.157615741,3/16/24 23:06,0,343014,1026380,6.04800219
